zip_code,latitude,longitude,city,state,county
78827,28.448923,-99.759184,Asherton,TX,Dimmit
78852,28.781057,-100.312766,Eagle Pass,TX,Maverick
79009,34.519042,-102.784639,Bovina,TX,Parmer
79039,35.276741,-101.232275,Groom,TX,Carson
79220,33.616428,-100.779303,Afton,TX,Dickens
79506,32.175814,-100.289569,Blackwell,TX,Nolan
79718,31.383297,-103.556598,Balmorhea,TX,Reeves
79741,31.981472,-102.615727,Goldsmith,TX,Ector
79843,30.351902,-104.018475,Marfa,TX,Presidio
81020,37.381577,-104.653809,Aguilar,CO,Las Animas
81121,37.109225,-107.311830,Arboles,CO,Archuleta
81201,38.629119,-106.120582,Salida,CO,Chaffee
82401,44.008105,-108.141457,Worland,WY,Washakie
83325,42.586804,-114.246706,Eden,ID,Jerome
83501,46.3646,-116.860852,Lewiston,ID,Nez Perce
83801,47.922361,-116.686007,Athol,ID,Kootenai
84008,40.443106,-109.505593,Bonanza,UT,Uintah
87005,35.273985,-107.991394,Bluewater,NM,Cibola
88114,32.690034,-103.209405,Crossroads,NM,Lea
89701,39.154485,-119.730740,Carson City,NV,Carson City
93512,37.496842,-118.624903,Benton,CA,Mono
93620,37.073301,-120.623363,Dos Palos,CA,Merced
93623,37.51165,-119.652872,Fish Camp,CA,Mariposa
95602,39.014933,-121.070470,Auburn,CA,Placer
96021,40.125399,-122.135411,Corning,CA,Tehama
97014,45.671017,-121.868565,Cascade Locks,OR,Hood River
98520,47.002735,-123.671290,Aberdeen,WA,Grays Harbor
