"m3","y30","y1","m6","y2","y10","y3","time","y5","y7","spread"
"5.6391","6.5732","5.6423","5.6618","5.7159","6.1682","5.7959","1995-06-29 20:00:00.000 -0400","5.9286","6.0473","0.5291"
"5.5930","6.7210","5.5940","5.6185","5.7800","6.2780","5.8855","1995-07-30 20:00:00.000 -0400","6.0085","6.1990","0.6850"
"5.5657","6.8604","5.7526","5.6504","5.9809","6.4883","6.1026","1995-08-30 20:00:00.000 -0400","6.2439","6.4117","0.9226"
"5.4340","6.5490","5.6200","5.5370","5.8060","6.1975","5.8910","1995-09-29 20:00:00.000 -0400","6.0015","6.1315","0.7635"
"5.4443","6.3748","5.5905","5.5648","5.6971","6.0448","5.7719","1995-10-30 19:00:00.000 -0500","5.8629","5.9671","0.6005"
"5.5181","6.2629","5.4329","5.5057","5.4786","5.9305","5.5695","1995-11-29 19:00:00.000 -0500","5.6943","5.8300","0.4124"
"5.2940","6.0625","5.3070","5.3490","5.3245","5.7115","5.3865","1995-12-30 19:00:00.000 -0500","5.5135","5.6315","0.4175"
"5.1505","6.0519","5.0876","5.1329","5.1124","5.6524","5.2048","1996-01-30 19:00:00.000 -0500","5.3624","5.5390","0.5019"
"4.9645","6.2420","4.9420","4.9665","5.0255","5.8055","5.1430","1996-02-28 19:00:00.000 -0500","5.3795","5.6380","0.8410"
"5.0976","6.6043","5.3424","5.1586","5.6610","6.2686","5.7857","1996-03-30 19:00:00.000 -0500","5.9662","6.1895","1.1710"
"5.0877","6.7941","5.5377","5.2677","5.9573","6.5114","6.1077","1996-04-29 20:00:00.000 -0400","6.3009","6.4800","1.4236"
"5.1536","6.9277","5.6368","5.3309","6.0950","6.7368","6.2714","1996-05-30 20:00:00.000 -0400","6.4832","6.6568","1.5832"
"5.2315","7.0590","5.8100","5.4620","6.2970","6.9120","6.4850","1996-06-29 20:00:00.000 -0400","6.6895","6.8340","1.6805"
"5.2982","7.0332","5.8509","5.5241","6.2700","6.8655","6.4536","1996-07-30 20:00:00.000 -0400","6.6359","6.7582","1.5673"
"5.1891","6.8418","5.6668","5.3414","6.0291","6.6355","6.2064","1996-08-30 20:00:00.000 -0400","6.3891","6.5150","1.4464"
"5.2375","7.0260","5.8330","5.4535","6.2340","6.8320","6.4075","1996-09-29 20:00:00.000 -0400","6.5970","6.7300","1.5945"
"5.1232","6.8086","5.5500","5.3164","5.9127","6.5336","6.0786","1996-10-30 19:00:00.000 -0500","6.2705","6.4200","1.4105"
"5.1695","6.4816","5.4232","5.2737","5.7016","6.2037","5.8184","1996-11-29 19:00:00.000 -0500","5.9732","6.0974","1.0342"
"5.0405","6.5524","5.4719","5.2433","5.7819","6.3024","5.9067","1996-12-30 19:00:00.000 -0500","6.0681","6.1990","1.2619"
"5.1657","6.8267","5.6124","5.3076","6.0081","6.5790","6.1557","1997-01-30 19:00:00.000 -0500","6.3333","6.4714","1.4133"
"5.1421","6.6879","5.5253","5.2653","5.8984","6.4195","6.0326","1997-02-27 19:00:00.000 -0500","6.1989","6.3189","1.2774"
"5.2845","6.9325","5.7955","5.4790","6.2220","6.6945","6.3785","1997-03-30 19:00:00.000 -0500","6.5370","6.6535","1.4100"
"5.3045","7.0927","5.9882","5.5950","6.4482","6.8855","6.6050","1997-04-29 20:00:00.000 -0400","6.7591","6.8600","1.5809"
"5.1967","6.9357","5.8695","5.5276","6.2767","6.7110","6.4214","1997-05-30 20:00:00.000 -0400","6.5676","6.6586","1.5143"
"5.0710","6.7724","5.6919","5.3386","6.0948","6.4938","6.2371","1997-06-29 20:00:00.000 -0400","6.3752","6.4581","1.4229"
"5.1945","6.5100","5.5418","5.3295","5.8909","6.2205","6.0014","1997-07-30 20:00:00.000 -0400","6.1209","6.2018","1.0259"
"5.2795","6.5786","5.5648","5.4014","5.9390","6.2986","6.0595","1997-08-30 20:00:00.000 -0400","6.1600","6.2905","1.0190"
"5.0848","6.4952","5.5238","5.2957","5.8819","6.2086","5.9757","1997-09-29 20:00:00.000 -0400","6.1062","6.2010","1.1238"
"5.1127","6.3264","5.4564","5.2991","5.7718","6.0295","5.8391","1997-10-30 19:00:00.000 -0500","5.9282","6.0541","0.9168"
"5.2811","6.1094","5.4572","5.3767","5.7128","5.8750","5.7550","1997-11-29 19:00:00.000 -0500","5.8039","5.9017","0.5939"
"5.3045","5.9900","5.5250","5.4514","5.7150","5.8086","5.7418","1997-12-30 19:00:00.000 -0500","5.7732","5.8250","0.5041"
"5.1790","5.8110","5.2445","5.2305","5.3570","5.5445","5.3750","1998-01-30 19:00:00.000 -0500","5.4160","5.5305","0.3655"
"5.2300","5.8911","5.3084","5.2742","5.4179","5.5747","5.4342","1998-02-27 19:00:00.000 -0500","5.4926","5.6032","0.3447"
"5.1618","5.9482","5.3895","5.2482","5.5614","5.6473","5.5668","1998-03-30 19:00:00.000 -0500","5.6118","5.7091","0.4855"
"5.0829","5.9238","5.3790","5.2629","5.5643","5.6376","5.5810","1998-04-29 20:00:00.000 -0400","5.6119","5.6957","0.5548"
"5.1400","5.9265","5.4400","5.3565","5.5935","5.6525","5.6075","1998-05-30 20:00:00.000 -0400","5.6280","5.7185","0.5125"
"5.1241","5.7036","5.4086","5.3236","5.5200","5.4964","5.5186","1998-06-29 20:00:00.000 -0400","5.5241","5.5632","0.3723"
"5.0945","5.6768","5.3582","5.2277","5.4582","5.4614","5.4664","1998-07-30 20:00:00.000 -0400","5.4614","5.5209","0.3668"
"5.0410","5.5405","5.2052","5.1519","5.2686","5.3419","5.2390","1998-08-30 20:00:00.000 -0400","5.2748","5.3586","0.3010"
"4.7390","5.2048","4.7110","4.8105","4.6662","4.8067","4.6157","1998-09-29 20:00:00.000 -0400","4.6238","4.7619","0.0676"
"4.0705","5.0105","4.1214","4.1962","4.0919","4.5300","4.1790","1998-10-30 19:00:00.000 -0500","4.1843","4.4576","0.4595"
"4.5311","5.2484","4.5253","4.5868","4.5400","4.8274","4.5721","1998-11-29 19:00:00.000 -0500","4.5374","4.7758","0.2963"
"4.4968","5.0591","4.5186","4.5682","4.5064","4.6450","4.4845","1998-12-30 19:00:00.000 -0500","4.4500","4.6491","0.1482"
"4.4463","5.1579","4.5142","4.4884","4.6153","4.7221","4.6116","1999-01-30 19:00:00.000 -0500","4.6005","4.7953","0.2758"
"4.5553","5.3653","4.7026","4.6074","4.8763","4.9989","4.9005","1999-02-27 19:00:00.000 -0500","4.9147","5.0984","0.4437"
"4.5665","5.5804","4.7813","4.6465","5.0530","5.2326","5.1057","1999-03-30 19:00:00.000 -0500","5.1404","5.3600","0.6661"
"4.4091","5.5477","4.6900","4.5445","4.9768","5.1845","5.0323","1999-04-29 20:00:00.000 -0400","5.0795","5.2800","0.7755"
"4.6310","5.8055","4.8490","4.7460","5.2545","5.5395","5.3330","1999-05-30 20:00:00.000 -0400","5.4370","5.6445","0.9085"
"4.7155","6.0418","5.0968","5.0295","5.6186","5.8995","5.6973","1999-06-29 20:00:00.000 -0400","5.8091","6.0477","1.1841"
"4.6857","5.9833","5.0319","4.7538","5.5548","5.7919","5.6181","1999-07-30 20:00:00.000 -0400","5.6786","5.9443","1.1062"
"4.8736","6.0686","5.1977","5.0882","5.6782","5.9391","5.7664","1999-08-30 20:00:00.000 -0400","5.8414","6.1509","1.0655"
"4.8224","6.0714","5.2514","5.0843","5.6619","5.9152","5.7457","1999-09-29 20:00:00.000 -0400","5.8019","6.1190","1.0929"
"5.0185","6.2635","5.4290","5.2005","5.8625","6.1120","5.9425","1999-10-30 20:00:00.000 -0400","6.0335","6.3295","1.0935"
"5.2275","6.1450","5.5535","5.4280","5.8620","6.0340","5.9185","1999-11-29 19:00:00.000 -0500","5.9690","6.1730","0.8065"
"5.3568","6.3514","5.8423","5.6841","6.1045","6.2755","6.1427","1999-12-30 19:00:00.000 -0500","6.1864","6.3768","0.9186"
"5.4990","6.6255","6.1215","5.7595","6.4400","6.6610","6.4890","2000-01-30 19:00:00.000 -0500","6.5795","6.7025","1.1620"
"5.7270","6.2320","6.2180","5.9955","6.6105","6.5195","6.6525","2000-02-28 19:00:00.000 -0500","6.6780","6.7165","0.7925"
"5.8639","6.0535","6.2222","6.1135","6.5283","6.2565","6.5283","2000-03-30 19:00:00.000 -0500","6.5039","6.5065","0.3926"
"5.8216","5.8463","6.1505","6.0695","6.4037","5.9905","6.3563","2000-04-29 20:00:00.000 -0400","6.2626","6.2658","0.1689"
"5.9945","6.1486","6.3264","6.3891","6.8095","6.4405","6.7677","2000-05-30 20:00:00.000 -0400","6.6877","6.6895","0.4459"
"5.8618","5.9264","6.1727","6.2386","6.4818","6.0973","6.4264","2000-06-29 20:00:00.000 -0400","6.3009","6.3268","0.2355"
"6.1425","5.8510","6.0825","6.2735","6.3390","6.0540","6.2770","2000-07-30 20:00:00.000 -0400","6.1790","6.2235","-0.0885"
"6.2774","5.7161","6.1830","6.3548","6.2287","5.8261","6.1743","2000-08-30 20:00:00.000 -0400","6.0609","6.0504","-0.4513"
"6.1750","5.8265","6.1255","6.2495","6.0815","5.7990","6.0165","2000-09-29 20:00:00.000 -0400","5.9345","5.9805","-0.3760"
"6.2948","5.8033","6.0124","6.3157","5.9124","5.7386","5.8457","2000-10-30 19:00:00.000 -0500","5.7829","5.8371","-0.5562"
"6.3562","5.7757","6.0919","6.3390","5.8752","5.7171","5.7867","2000-11-29 19:00:00.000 -0500","5.6976","5.7814","-0.6390"
"5.9370","5.4905","5.6025","5.9230","5.3520","5.2405","5.2595","2000-12-30 19:00:00.000 -0500","5.1680","5.2830","-0.6965"
"5.2852","5.5410","4.8148","5.1462","4.7600","5.1610","4.7743","2001-01-30 19:00:00.000 -0500","4.8586","5.1305","-0.1243"
"5.0053","5.4547","4.6842","4.8889","4.6568","5.0989","4.7079","2001-02-27 19:00:00.000 -0500","4.8863","5.0974","0.0937"
"4.5355","5.3395","4.2986","4.4355","4.3423","4.8855","4.4282","2001-03-30 19:00:00.000 -0500","4.6427","4.8827","0.3500"
"3.9660","5.6460","3.9765","3.9855","4.2340","5.1410","4.4230","2001-04-29 20:00:00.000 -0400","4.7635","5.0345","1.1750"
"3.7032","5.7800","3.7814","3.7382","4.2600","5.3914","4.5073","2001-05-30 20:00:00.000 -0400","4.9277","5.2400","1.6882"
"3.5652","5.6695","3.5762","3.5590","4.0800","5.2843","4.3481","2001-06-29 20:00:00.000 -0400","4.8071","5.1381","1.7190"
"3.5933","5.6133","3.6171","3.5567","4.0386","5.2362","4.3133","2001-07-30 20:00:00.000 -0400","4.7619","5.0610","1.6429"
"3.4378","5.4835","3.4704","3.3865","3.7574","4.9713","4.0378","2001-08-30 20:00:00.000 -0400","4.5739","4.8435","1.5335"
"2.6924","5.4829","2.8247","2.7059","3.1188","4.7318","3.4506","2001-09-29 20:00:00.000 -0400","4.1153","4.5124","2.0394"
"2.1977","5.3155","2.3305","2.1709","2.7259","4.5668","3.1368","2001-10-30 19:00:00.000 -0500","3.9100","4.3073","2.3691"
"1.9065","5.1180","2.1820","1.9240","2.7825","4.6515","3.2235","2001-11-29 19:00:00.000 -0500","3.9725","4.4220","2.7450"
"1.7200","5.4800","2.2155","1.8155","3.1070","5.0875","3.6245","2001-12-30 19:00:00.000 -0500","4.3895","4.8590","3.3675"
"1.6848","5.4452","2.1586","1.7710","3.0281","5.0357","3.5567","2002-01-30 19:00:00.000 -0500","4.3400","4.7895","3.3510"
"1.7568","5.4009","2.2326","1.8637","3.0153","4.9116","3.5463","2002-02-27 19:00:00.000 -0500","4.2984","4.7147","3.1547"
"1.8250","NaN","2.5670","2.0565","3.5575","5.2840","4.1420","2002-03-30 19:00:00.000 -0500","4.7380","5.1365","3.4590"
"1.7450","NaN","2.4759","1.9750","3.4227","5.2109","4.0073","2002-04-29 20:00:00.000 -0400","4.6468","5.0164","3.4659"
"1.7605","NaN","2.3541","1.9114","3.2641","5.1645","3.8018","2002-05-30 20:00:00.000 -0400","4.4945","4.9005","3.4041"
"1.7320","NaN","2.1965","1.8325","2.9930","4.9265","3.4850","2002-06-29 20:00:00.000 -0400","4.1860","4.6010","3.1945"
"1.7136","NaN","1.9609","1.7364","2.5568","4.6532","3.0109","2002-07-30 20:00:00.000 -0400","3.8073","4.3041","2.9395"
"1.6473","NaN","1.7573","1.6373","2.1336","4.2573","2.5223","2002-08-30 20:00:00.000 -0400","3.2945","3.8750","2.6100"
"1.6590","NaN","1.7150","1.6385","2.0045","3.8700","2.3170","2002-09-29 20:00:00.000 -0400","2.9380","3.4960","2.2110"
"1.6100","NaN","1.6500","1.5895","1.9118","3.9409","2.2536","2002-10-30 19:00:00.000 -0500","2.9450","3.5368","2.3309"
"1.2547","NaN","1.4916","1.2979","1.9232","4.0484","2.3153","2002-11-29 19:00:00.000 -0500","3.0547","3.6442","2.7937"
"1.2110","NaN","1.4500","1.2676","1.8362","4.0324","2.2348","2002-12-30 19:00:00.000 -0500","3.0333","3.6267","2.8214"
"1.1890","NaN","1.3643","1.2219","1.7433","4.0486","2.1824","2003-01-30 19:00:00.000 -0500","3.0524","3.6019","2.8595"
"1.1853","NaN","1.2963","1.1953","1.6279","3.9026","2.0505","2003-02-27 19:00:00.000 -0500","2.8979","3.4479","2.7174"
"1.1510","NaN","1.2400","1.1567","1.5738","3.8071","1.9752","2003-03-30 19:00:00.000 -0500","2.7838","3.3448","2.6562"
"1.1524","NaN","1.2671","1.1690","1.6224","3.9586","2.0590","2003-04-29 20:00:00.000 -0400","2.9286","3.4743","2.8062"
"1.0881","NaN","1.1814","1.1062","1.4152","3.5690","1.7476","2003-05-30 20:00:00.000 -0400","2.5157","3.0714","2.4810"
"0.9362","NaN","1.0095","0.9433","1.2271","3.3343","1.5143","2003-06-29 20:00:00.000 -0400","2.2657","2.8395","2.3981"
"0.9205","NaN","1.1164","0.9727","1.4741","3.9755","1.9327","2003-07-30 20:00:00.000 -0400","2.8723","3.4532","3.0550"
"0.9690","NaN","1.3086","1.0524","1.8643","4.4452","2.4352","2003-08-30 20:00:00.000 -0400","3.3700","3.9624","3.4762"
"0.9552","NaN","1.2376","1.0290","1.7062","4.2743","2.2333","2003-09-29 20:00:00.000 -0400","3.1848","3.7443","3.3190"
"0.9418","NaN","1.2541","1.0195","1.7477","4.2905","2.2636","2003-10-30 19:00:00.000 -0500","3.1859","3.7514","3.3486"
"0.9522","NaN","1.3367","1.0422","1.9267","4.3000","2.4506","2003-11-29 19:00:00.000 -0500","3.2872","3.8083","3.3478"
"0.9145","NaN","1.3059","1.0109","1.9073","4.2677","2.4400","2003-12-30 19:00:00.000 -0500","3.2686","3.7905","3.3532"
"0.9005","NaN","1.2395","0.9900","1.7610","4.1505","2.2710","2004-01-30 19:00:00.000 -0500","3.1215","3.6465","3.2500"
"0.9447","NaN","1.2437","1.0111","1.7400","4.0842","2.2468","2004-02-28 19:00:00.000 -0500","3.0679","3.5853","3.1395"
"0.9535","NaN","1.1874","1.0091","1.5778","3.8265","2.0000","2004-03-30 19:00:00.000 -0500","2.7870","3.3061","2.8730"
"0.9581","NaN","1.4338","1.1090","2.0710","4.3476","2.5681","2004-04-29 20:00:00.000 -0400","3.3895","3.8924","3.3895"
"1.0395","NaN","1.7775","1.3335","2.5335","4.7155","3.0975","2004-05-30 20:00:00.000 -0400","3.8505","4.3130","3.6760"
"1.2881","NaN","2.1152","1.6352","2.7633","4.7338","3.2562","2004-06-29 20:00:00.000 -0400","3.9290","4.3524","3.4457"
"1.3576","NaN","2.0952","1.6962","2.6386","4.4981","3.0462","2004-07-30 20:00:00.000 -0400","3.6886","4.1119","3.1405"
"1.5032","NaN","2.0159","1.7600","2.5082","4.2814","2.8845","2004-08-30 20:00:00.000 -0400","3.4745","3.9041","2.7782"
"1.6814","NaN","2.1167","1.9105","2.5252","4.1257","2.8295","2004-09-29 20:00:00.000 -0400","3.3552","3.7514","2.4443"
"1.7945","NaN","2.2280","2.0515","2.5845","4.0970","2.8535","2004-10-30 20:00:00.000 -0400","3.3475","3.7480","2.3025"
"2.1075","NaN","2.5000","2.3245","2.8520","4.1940","3.0935","2004-11-29 19:00:00.000 -0500","3.5250","3.8820","2.0865"
"2.2227","NaN","2.6705","2.4968","3.0118","4.2309","3.2141","2004-12-30 19:00:00.000 -0500","3.5982","3.9277","2.0082"
"2.3710","NaN","2.8605","2.6755","3.2225","4.2215","3.3900","2005-01-30 19:00:00.000 -0500","3.7070","3.9735","1.8505"
"2.5795","NaN","3.0295","2.8458","3.3847","4.1653","3.5353","2005-02-27 19:00:00.000 -0500","3.7663","3.9658","1.5858"
"2.7959","NaN","3.3023","3.0868","3.7268","4.4977","3.9132","2005-03-30 19:00:00.000 -0500","4.1655","4.3277","1.7018"
"2.8367","NaN","3.3167","3.1443","3.6538","4.3410","3.7895","2005-04-29 20:00:00.000 -0400","3.9986","4.1581","1.5043"
"2.9019","NaN","3.3310","3.1710","3.6438","4.1443","3.7248","2005-05-30 20:00:00.000 -0400","3.8529","3.9414","1.2424"
"3.0364","NaN","3.3632","3.2218","3.6405","3.9982","3.6850","2005-06-29 20:00:00.000 -0400","3.7723","3.8605","0.9618"
"3.2875","NaN","3.6410","3.5265","3.8710","4.1775","3.9140","2005-07-30 20:00:00.000 -0400","3.9790","4.0580","0.8900"
"3.5183","NaN","3.8722","3.7848","4.0443","4.2626","4.0787","2005-08-30 20:00:00.000 -0400","4.1222","4.1778","0.7443"
"3.4943","NaN","3.8452","3.7938","3.9462","4.1990","3.9629","2005-09-29 20:00:00.000 -0400","4.0062","4.0805","0.7048"
"3.7925","NaN","4.1755","4.1250","4.2710","4.4635","4.2905","2005-10-30 19:00:00.000 -0500","4.3285","4.3820","0.6710"
"3.9745","NaN","4.3340","4.2950","4.4165","4.5350","4.4335","2005-11-29 19:00:00.000 -0500","4.4525","4.4820","0.5605"
"3.9710","NaN","4.3529","4.3276","4.4043","4.4671","4.3919","2005-12-30 19:00:00.000 -0500","4.3924","4.4138","0.4962"
"4.3360","NaN","4.4450","4.4695","4.3955","4.4160","4.3515","2006-01-30 19:00:00.000 -0500","4.3455","4.3650","0.0800"
"4.5395","4.5369","4.6847","4.6916","4.6684","4.5689","4.6374","2006-02-27 19:00:00.000 -0500","4.5721","4.5642","0.0295"
"4.6278","4.7343","4.7735","4.7922","4.7339","4.7239","4.7383","2006-03-30 19:00:00.000 -0500","4.7161","4.7139","0.0961"
"4.7216","5.0626","4.8974","4.9000","4.8889","4.9905","4.8853","2006-04-29 20:00:00.000 -0400","4.9021","4.9353","0.2689"
